"","LOTI","datetime"
"829",5,1949-01-01
"830",-35,1949-02-01
"831",-8,1949-03-01
"832",-26,1949-04-01
"833",-20,1949-05-01
"834",-23,1949-06-01
"835",-9,1949-07-01
"836",-14,1949-08-01
"837",-7,1949-09-01
"838",0,1949-10-01
"839",-7,1949-11-01
"840",-13,1949-12-01
"841",-28,1950-01-01
"842",-34,1950-02-01
"843",-9,1950-03-01
"844",-24,1950-04-01
"845",-24,1950-05-01
"846",-14,1950-06-01
"847",-13,1950-07-01
"848",-35,1950-08-01
"849",-19,1950-09-01
"850",-21,1950-10-01
"851",-39,1950-11-01
"852",-18,1950-12-01
"853",-37,1951-01-01
"854",-46,1951-02-01
"855",-17,1951-03-01
"856",-6,1951-04-01
"857",6,1951-05-01
"858",-12,1951-06-01
"859",-11,1951-07-01
"860",10,1951-08-01
"861",0,1951-09-01
"862",5,1951-10-01
"863",1,1951-11-01
"864",15,1951-12-01
"865",9,1952-01-01
"866",12,1952-02-01
"867",-17,1952-03-01
"868",-7,1952-04-01
"869",-13,1952-05-01
"870",-10,1952-06-01
"871",4,1952-07-01
"872",9,1952-08-01
"873",13,1952-09-01
"874",-3,1952-10-01
"875",-21,1952-11-01
"876",-4,1952-12-01
"877",11,1953-01-01
"878",7,1953-02-01
"879",15,1953-03-01
"880",10,1953-04-01
"881",-3,1953-05-01
"882",1,1953-06-01
"883",-3,1953-07-01
"884",10,1953-08-01
"885",8,1953-09-01
"886",6,1953-10-01
"887",2,1953-11-01
"888",15,1953-12-01
"889",-29,1954-01-01
"890",-8,1954-02-01
"891",-12,1954-03-01
"892",-15,1954-04-01
"893",-20,1954-05-01
"894",-21,1954-06-01
"895",-26,1954-07-01
"896",-17,1954-08-01
"897",-17,1954-09-01
"898",1,1954-10-01
"899",18,1954-11-01
"900",-10,1954-12-01
"901",24,1955-01-01
"902",-9,1955-02-01
"903",-36,1955-03-01
"904",-16,1955-04-01
"905",-14,1955-05-01
"906",-17,1955-06-01
"907",-13,1955-07-01
"908",14,1955-08-01
"909",-12,1955-09-01
"910",2,1955-10-01
"911",-25,1955-11-01
"912",-28,1955-12-01
"913",-23,1956-01-01
"914",-31,1956-02-01
"915",-32,1956-03-01
"916",-26,1956-04-01
"917",-27,1956-05-01
"918",-10,1956-06-01
"919",-10,1956-07-01
"920",-32,1956-08-01
"921",-10,1956-09-01
"922",-22,1956-10-01
"923",-21,1956-11-01
"924",-18,1956-12-01
"925",-13,1957-01-01
"926",-6,1957-02-01
"927",-8,1957-03-01
"928",3,1957-04-01
"929",-1,1957-05-01
"930",15,1957-06-01
"931",-9,1957-07-01
"932",20,1957-08-01
"933",13,1957-09-01
"934",-1,1957-10-01
"935",15,1957-11-01
"936",18,1957-12-01
"937",38,1958-01-01
"938",23,1958-02-01
"939",17,1958-03-01
"940",10,1958-04-01
"941",11,1958-05-01
"942",-20,1958-06-01
"943",4,1958-07-01
"944",-13,1958-08-01
"945",-10,1958-09-01
"946",7,1958-10-01
"947",7,1958-11-01
"948",-8,1958-12-01
"949",3,1959-01-01
"950",7,1959-02-01
"951",25,1959-03-01
"952",19,1959-04-01
"953",-1,1959-05-01
"954",9,1959-06-01
"955",8,1959-07-01
"956",0,1959-08-01
"957",-12,1959-09-01
"958",-10,1959-10-01
"959",-10,1959-11-01
"960",10,1959-12-01
"961",8,1960-01-01
"962",26,1960-02-01
"963",-47,1960-03-01
"964",-21,1960-04-01
"965",-15,1960-05-01
"966",-2,1960-06-01
"967",-12,1960-07-01
"968",8,1960-08-01
"969",7,1960-09-01
"970",13,1960-10-01
"971",-10,1960-11-01
"972",18,1960-12-01
"973",9,1961-01-01
"974",23,1961-02-01
"975",4,1961-03-01
"976",14,1961-04-01
"977",19,1961-05-01
"978",8,1961-06-01
"979",-1,1961-07-01
"980",4,1961-08-01
"981",16,1961-09-01
"982",8,1961-10-01
"983",7,1961-11-01
"984",-14,1961-12-01
"985",7,1962-01-01
"986",16,1962-02-01
"987",9,1962-03-01
"988",6,1962-04-01
"989",-11,1962-05-01
"990",4,1962-06-01
"991",-12,1962-07-01
"992",-8,1962-08-01
"993",-1,1962-09-01
"994",0,1962-10-01
"995",8,1962-11-01
"996",0,1962-12-01
"997",-2,1963-01-01
"998",22,1963-02-01
"999",-24,1963-03-01
"1000",-19,1963-04-01
"1001",-14,1963-05-01
"1002",1,1963-06-01
"1003",6,1963-07-01
"1004",15,1963-08-01
"1005",21,1963-09-01
"1006",7,1963-10-01
"1007",5,1963-11-01
"1008",-7,1963-12-01
"1009",-7,1964-01-01
"1010",-17,1964-02-01
"1011",-30,1964-03-01
"1012",-37,1964-04-01
"1013",-35,1964-05-01
"1014",-16,1964-06-01
"1015",-8,1964-07-01
"1016",-33,1964-08-01
"1017",-36,1964-09-01
"1018",-34,1964-10-01
"1019",-21,1964-11-01
"1020",-34,1964-12-01
"1021",-6,1965-01-01
"1022",-18,1965-02-01
"1023",-13,1965-03-01
"1024",-29,1965-04-01
"1025",-16,1965-05-01
"1026",-18,1965-06-01
"1027",-24,1965-07-01
"1028",-9,1965-08-01
"1029",-24,1965-09-01
"1030",-11,1965-10-01
"1031",-13,1965-11-01
"1032",-20,1965-12-01
"1033",-25,1966-01-01
"1034",-4,1966-02-01
"1035",12,1966-03-01
"1036",-11,1966-04-01
"1037",-9,1966-05-01
"1038",-2,1966-06-01
"1039",10,1966-07-01
"1040",-13,1966-08-01
"1041",-5,1966-09-01
"1042",-27,1966-10-01
"1043",-7,1966-11-01
"1044",-8,1966-12-01
"1045",-9,1967-01-01
"1046",-25,1967-02-01
"1047",1,1967-03-01
"1048",-10,1967-04-01
"1049",15,1967-05-01
"1050",-12,1967-06-01
"1051",4,1967-07-01
"1052",3,1967-08-01
"1053",-1,1967-09-01
"1054",11,1967-10-01
"1055",1,1967-11-01
"1056",-1,1967-12-01
"1057",-20,1968-01-01
"1058",-16,1968-02-01
"1059",32,1968-03-01
"1060",-9,1968-04-01
"1061",-18,1968-05-01
"1062",-10,1968-06-01
"1063",-12,1968-07-01
"1064",-9,1968-08-01
"1065",-29,1968-09-01
"1066",5,1968-10-01
"1067",-8,1968-11-01
"1068",-22,1968-12-01
"1069",-17,1969-01-01
"1070",-26,1969-02-01
"1071",-9,1969-03-01
"1072",10,1969-04-01
"1073",13,1969-05-01
"1074",2,1969-06-01
"1075",-3,1969-07-01
"1076",-10,1969-08-01
"1077",1,1969-09-01
"1078",6,1969-10-01
"1079",8,1969-11-01
"1080",34,1969-12-01
"1081",5,1970-01-01
"1082",27,1970-02-01
"1083",11,1970-03-01
"1084",12,1970-04-01
"1085",-6,1970-05-01
"1086",14,1970-06-01
"1087",8,1970-07-01
"1088",-7,1970-08-01
"1089",15,1970-09-01
"1090",10,1970-10-01
"1091",3,1970-11-01
"1092",-11,1970-12-01
"1093",-3,1971-01-01
"1094",-15,1971-02-01
"1095",-21,1971-03-01
"1096",-6,1971-04-01
"1097",-7,1971-05-01
"1098",-21,1971-06-01
"1099",-11,1971-07-01
"1100",3,1971-08-01
"1101",4,1971-09-01
"1102",-3,1971-10-01
"1103",-12,1971-11-01
"1104",-6,1971-12-01
"1105",-32,1972-01-01
"1106",-31,1972-02-01
"1107",-6,1972-03-01
"1108",-7,1972-04-01
"1109",-1,1972-05-01
"1110",8,1972-06-01
"1111",5,1972-07-01
"1112",19,1972-08-01
"1113",6,1972-09-01
"1114",-4,1972-10-01
"1115",-7,1972-11-01
"1116",14,1972-12-01
"1117",25,1973-01-01
"1118",32,1973-02-01
"1119",36,1973-03-01
"1120",35,1973-04-01
"1121",35,1973-05-01
"1122",30,1973-06-01
"1123",22,1973-07-01
"1124",7,1973-08-01
"1125",12,1973-09-01
"1126",21,1973-10-01
"1127",10,1973-11-01
"1128",-2,1973-12-01
"1129",-4,1974-01-01
"1130",-22,1974-02-01
"1131",0,1974-03-01
"1132",-7,1974-04-01
"1133",3,1974-05-01
"1134",4,1974-06-01
"1135",-1,1974-07-01
"1136",14,1974-08-01
"1137",-15,1974-09-01
"1138",-6,1974-10-01
"1139",-6,1974-11-01
"1140",-4,1974-12-01
"1141",9,1975-01-01
"1142",10,1975-02-01
"1143",16,1975-03-01
"1144",5,1975-04-01
"1145",28,1975-05-01
"1146",7,1975-06-01
"1147",8,1975-07-01
"1148",-25,1975-08-01
"1149",-1,1975-09-01
"1150",-3,1975-10-01
"1151",-6,1975-11-01
"1152",-22,1975-12-01
"1153",-1,1976-01-01
"1154",-7,1976-02-01
"1155",-30,1976-03-01
"1156",-22,1976-04-01
"1157",-24,1976-05-01
"1158",-17,1976-06-01
"1159",-14,1976-07-01
"1160",-22,1976-08-01
"1161",-15,1976-09-01
"1162",-37,1976-10-01
"1163",-17,1976-11-01
"1164",-3,1976-12-01
"1165",13,1977-01-01
"1166",23,1977-02-01
"1167",31,1977-03-01
"1168",31,1977-04-01
"1169",31,1977-05-01
"1170",33,1977-06-01
"1171",30,1977-07-01
"1172",31,1977-08-01
"1173",-8,1977-09-01
"1174",1,1977-10-01
"1175",25,1977-11-01
"1176",15,1977-12-01
"1177",13,1978-01-01
"1178",18,1978-02-01
"1179",28,1978-03-01
"1180",25,1978-04-01
"1181",21,1978-05-01
"1182",6,1978-06-01
"1183",20,1978-07-01
"1184",-16,1978-08-01
"1185",17,1978-09-01
"1186",5,1978-10-01
"1187",17,1978-11-01
"1188",11,1978-12-01
"1189",18,1979-01-01
"1190",-9,1979-02-01
"1191",24,1979-03-01
"1192",20,1979-04-01
"1193",8,1979-05-01
"1194",23,1979-06-01
"1195",4,1979-07-01
"1196",13,1979-08-01
"1197",29,1979-09-01
"1198",28,1979-10-01
"1199",31,1979-11-01
"1200",54,1979-12-01
"1201",36,1980-01-01
"1202",45,1980-02-01
"1203",42,1980-03-01
"1204",46,1980-04-01
"1205",47,1980-05-01
"1206",23,1980-06-01
"1207",37,1980-07-01
"1208",33,1980-08-01
"1209",35,1980-09-01
"1210",23,1980-10-01
"1211",28,1980-11-01
"1212",17,1980-12-01
"1213",61,1981-01-01
"1214",57,1981-02-01
"1215",68,1981-03-01
"1216",50,1981-04-01
"1217",31,1981-05-01
"1218",39,1981-06-01
"1219",51,1981-07-01
"1220",52,1981-08-01
"1221",29,1981-09-01
"1222",13,1981-10-01
"1223",25,1981-11-01
"1224",49,1981-12-01
"1225",13,1982-01-01
"1226",26,1982-02-01
"1227",-2,1982-03-01
"1228",2,1982-04-01
"1229",25,1982-05-01
"1230",3,1982-06-01
"1231",19,1982-07-01
"1232",9,1982-08-01
"1233",10,1982-09-01
"1234",2,1982-10-01
"1235",11,1982-11-01
"1236",40,1982-12-01
"1237",50,1983-01-01
"1238",41,1983-02-01
"1239",47,1983-03-01
"1240",40,1983-04-01
"1241",49,1983-05-01
"1242",29,1983-06-01
"1243",21,1983-07-01
"1244",48,1983-08-01
"1245",57,1983-09-01
"1246",32,1983-10-01
"1247",33,1983-11-01
"1248",17,1983-12-01
"1249",25,1984-01-01
"1250",16,1984-02-01
"1251",38,1984-03-01
"1252",17,1984-04-01
"1253",48,1984-05-01
"1254",5,1984-06-01
"1255",18,1984-07-01
"1256",28,1984-08-01
"1257",27,1984-09-01
"1258",23,1984-10-01
"1259",10,1984-11-01
"1260",3,1984-12-01
"1261",31,1985-01-01
"1262",5,1985-02-01
"1263",26,1985-03-01
"1264",19,1985-04-01
"1265",23,1985-05-01
"1266",28,1985-06-01
"1267",6,1985-07-01
"1268",35,1985-08-01
"1269",26,1985-09-01
"1270",16,1985-10-01
"1271",10,1985-11-01
"1272",16,1985-12-01
"1273",38,1986-01-01
"1274",50,1986-02-01
"1275",37,1986-03-01
"1276",42,1986-04-01
"1277",32,1986-05-01
"1278",15,1986-06-01
"1279",15,1986-07-01
"1280",19,1986-08-01
"1281",1,1986-09-01
"1282",12,1986-10-01
"1283",11,1986-11-01
"1284",20,1986-12-01
"1285",43,1987-01-01
"1286",53,1987-02-01
"1287",24,1987-03-01
"1288",39,1987-04-01
"1289",29,1987-05-01
"1290",55,1987-06-01
"1291",59,1987-07-01
"1292",25,1987-08-01
"1293",35,1987-09-01
"1294",35,1987-10-01
"1295",30,1987-11-01
"1296",56,1987-12-01
"1297",66,1988-01-01
"1298",48,1988-02-01
"1299",56,1988-03-01
"1300",49,1988-04-01
"1301",62,1988-05-01
"1302",58,1988-06-01
"1303",44,1988-07-01
"1304",55,1988-08-01
"1305",54,1988-09-01
"1306",51,1988-10-01
"1307",14,1988-11-01
"1308",35,1988-12-01
"1309",28,1989-01-01
"1310",45,1989-02-01
"1311",46,1989-03-01
"1312",42,1989-04-01
"1313",22,1989-05-01
"1314",18,1989-06-01
"1315",46,1989-07-01
"1316",51,1989-08-01
"1317",53,1989-09-01
"1318",44,1989-10-01
"1319",21,1989-11-01
"1320",38,1989-12-01
"1321",51,1990-01-01
"1322",42,1990-02-01
"1323",86,1990-03-01
"1324",62,1990-04-01
"1325",52,1990-05-01
"1326",46,1990-06-01
"1327",62,1990-07-01
"1328",43,1990-08-01
"1329",30,1990-09-01
"1330",52,1990-10-01
"1331",52,1990-11-01
"1332",46,1990-12-01
"1333",48,1991-01-01
"1334",61,1991-02-01
"1335",47,1991-03-01
"1336",71,1991-04-01
"1337",43,1991-05-01
"1338",70,1991-06-01
"1339",63,1991-07-01
"1340",56,1991-08-01
"1341",61,1991-09-01
"1342",34,1991-10-01
"1343",32,1991-11-01
"1344",34,1991-12-01
"1345",50,1992-01-01
"1346",43,1992-02-01
"1347",54,1992-03-01
"1348",23,1992-04-01
"1349",26,1992-05-01
"1350",29,1992-06-01
"1351",8,1992-07-01
"1352",14,1992-08-01
"1353",-6,1992-09-01
"1354",7,1992-10-01
"1355",2,1992-11-01
"1356",25,1992-12-01
"1357",38,1993-01-01
"1358",41,1993-02-01
"1359",34,1993-03-01
"1360",30,1993-04-01
"1361",27,1993-05-01
"1362",26,1993-06-01
"1363",38,1993-07-01
"1364",22,1993-08-01
"1365",10,1993-09-01
"1366",22,1993-10-01
"1367",9,1993-11-01
"1368",21,1993-12-01
"1369",39,1994-01-01
"1370",8,1994-02-01
"1371",25,1994-03-01
"1372",52,1994-04-01
"1373",25,1994-05-01
"1374",56,1994-06-01
"1375",40,1994-07-01
"1376",23,1994-08-01
"1377",44,1994-09-01
"1378",41,1994-10-01
"1379",51,1994-11-01
"1380",43,1994-12-01
"1381",56,1995-01-01
"1382",89,1995-02-01
"1383",50,1995-03-01
"1384",58,1995-04-01
"1385",38,1995-05-01
"1386",51,1995-06-01
"1387",63,1995-07-01
"1388",58,1995-08-01
"1389",46,1995-09-01
"1390",67,1995-10-01
"1391",52,1995-11-01
"1392",40,1995-12-01
"1393",41,1996-01-01
"1394",60,1996-02-01
"1395",45,1996-03-01
"1396",48,1996-04-01
"1397",34,1996-05-01
"1398",33,1996-06-01
"1399",55,1996-07-01
"1400",77,1996-08-01
"1401",41,1996-09-01
"1402",33,1996-10-01
"1403",49,1996-11-01
"1404",52,1996-12-01
"1405",47,1997-01-01
"1406",54,1997-02-01
"1407",65,1997-03-01
"1408",38,1997-04-01
"1409",42,1997-05-01
"1410",66,1997-06-01
"1411",34,1997-07-01
"1412",43,1997-08-01
"1413",50,1997-09-01
"1414",60,1997-10-01
"1415",71,1997-11-01
"1416",69,1997-12-01
"1417",71,1998-01-01
"1418",119,1998-02-01
"1419",82,1998-03-01
"1420",83,1998-04-01
"1421",94,1998-05-01
"1422",104,1998-06-01
"1423",91,1998-07-01
"1424",87,1998-08-01
"1425",60,1998-09-01
"1426",68,1998-10-01
"1427",65,1998-11-01
"1428",81,1998-12-01
"1429",68,1999-01-01
"1430",87,1999-02-01
"1431",48,1999-03-01
"1432",43,1999-04-01
"1433",49,1999-05-01
"1434",63,1999-06-01
"1435",65,1999-07-01
"1436",55,1999-08-01
"1437",67,1999-09-01
"1438",63,1999-10-01
"1439",58,1999-11-01
"1440",53,1999-12-01
"1441",31,2000-01-01
"1442",79,2000-02-01
"1443",69,2000-03-01
"1444",76,2000-04-01
"1445",56,2000-05-01
"1446",69,2000-06-01
"1447",63,2000-07-01
"1448",60,2000-08-01
"1449",57,2000-09-01
"1450",34,2000-10-01
"1451",48,2000-11-01
"1452",47,2000-12-01
"1453",59,2001-01-01
"1454",64,2001-02-01
"1455",69,2001-03-01
"1456",62,2001-04-01
"1457",73,2001-05-01
"1458",66,2001-06-01
"1459",71,2001-07-01
"1460",66,2001-08-01
"1461",70,2001-09-01
"1462",62,2001-10-01
"1463",84,2001-11-01
"1464",73,2001-12-01
"1465",97,2002-01-01
"1466",91,2002-02-01
"1467",112,2002-03-01
"1468",80,2002-04-01
"1469",87,2002-05-01
"1470",66,2002-06-01
"1471",82,2002-07-01
"1472",69,2002-08-01
"1473",82,2002-09-01
"1474",64,2002-10-01
"1475",69,2002-11-01
"1476",54,2002-12-01
"1477",91,2003-01-01
"1478",74,2003-02-01
"1479",71,2003-03-01
"1480",69,2003-04-01
"1481",87,2003-05-01
"1482",64,2003-06-01
"1483",65,2003-07-01
"1484",86,2003-08-01
"1485",83,2003-09-01
"1486",89,2003-10-01
"1487",66,2003-11-01
"1488",85,2003-12-01
"1489",71,2004-01-01
"1490",92,2004-02-01
"1491",85,2004-03-01
"1492",76,2004-04-01
"1493",48,2004-05-01
"1494",64,2004-06-01
"1495",24,2004-07-01
"1496",58,2004-08-01
"1497",59,2004-09-01
"1498",83,2004-10-01
"1499",87,2004-11-01
"1500",67,2004-12-01
"1501",97,2005-01-01
"1502",88,2005-02-01
"1503",93,2005-03-01
"1504",84,2005-04-01
"1505",75,2005-05-01
"1506",82,2005-06-01
"1507",80,2005-07-01
"1508",75,2005-08-01
"1509",96,2005-09-01
"1510",99,2005-10-01
"1511",90,2005-11-01
"1512",89,2005-12-01
"1513",74,2006-01-01
"1514",93,2006-02-01
"1515",81,2006-03-01
"1516",67,2006-04-01
"1517",50,2006-05-01
"1518",77,2006-06-01
"1519",68,2006-07-01
"1520",83,2006-08-01
"1521",72,2006-09-01
"1522",84,2006-10-01
"1523",87,2006-11-01
"1524",93,2006-12-01
"1525",123,2007-01-01
"1526",92,2007-02-01
"1527",91,2007-03-01
"1528",93,2007-04-01
"1529",94,2007-05-01
"1530",66,2007-06-01
"1531",78,2007-07-01
"1532",86,2007-08-01
"1533",82,2007-09-01
"1534",80,2007-10-01
"1535",69,2007-11-01
"1536",70,2007-12-01
"1537",49,2008-01-01
"1538",44,2008-02-01
"1539",91,2008-03-01
"1540",66,2008-04-01
"1541",57,2008-05-01
"1542",52,2008-06-01
"1543",72,2008-07-01
"1544",40,2008-08-01
"1545",80,2008-09-01
"1546",74,2008-10-01
"1547",80,2008-11-01
"1548",72,2008-12-01
"1549",75,2009-01-01
"1550",76,2009-02-01
"1551",65,2009-03-01
"1552",75,2009-04-01
"1553",79,2009-05-01
"1554",82,2009-06-01
"1555",86,2009-07-01
"1556",86,2009-08-01
"1557",91,2009-09-01
"1558",73,2009-10-01
"1559",85,2009-11-01
"1560",75,2009-12-01
"1561",95,2010-01-01
"1562",104,2010-02-01
"1563",113,2010-03-01
"1564",101,2010-04-01
"1565",96,2010-05-01
"1566",86,2010-06-01
"1567",74,2010-07-01
"1568",83,2010-08-01
"1569",88,2010-09-01
"1570",96,2010-10-01
"1571",100,2010-11-01
"1572",70,2010-12-01
"1573",73,2011-01-01
"1574",66,2011-02-01
"1575",77,2011-03-01
"1576",84,2011-04-01
"1577",65,2011-05-01
"1578",74,2011-06-01
"1579",91,2011-07-01
"1580",96,2011-08-01
"1581",78,2011-09-01
"1582",85,2011-10-01
"1583",78,2011-11-01
"1584",79,2011-12-01
"1585",61,2012-01-01
"1586",58,2012-02-01
"1587",71,2012-03-01
"1588",80,2012-04-01
"1589",96,2012-05-01
"1590",71,2012-06-01
"1591",58,2012-07-01
"1592",86,2012-08-01
"1593",90,2012-09-01
"1594",95,2012-10-01
"1595",94,2012-11-01
"1596",72,2012-12-01
"1597",98,2013-01-01
"1598",78,2013-02-01
"1599",86,2013-03-01
"1600",67,2013-04-01
"1601",68,2013-05-01
"1602",88,2013-06-01
"1603",66,2013-07-01
"1604",79,2013-08-01
"1605",99,2013-09-01
"1606",86,2013-10-01
"1607",87,2013-11-01
"1608",84,2013-12-01
"1609",95,2014-01-01
"1610",64,2014-02-01
"1611",80,2014-03-01
"1612",89,2014-04-01
"1613",104,2014-05-01
"1614",77,2014-06-01
"1615",73,2014-07-01
"1616",86,2014-08-01
"1617",107,2014-09-01
"1618",104,2014-10-01
"1619",82,2014-11-01
"1620",97,2014-12-01
"1621",94,2015-01-01
"1622",107,2015-02-01
"1623",110,2015-03-01
"1624",79,2015-04-01
"1625",88,2015-05-01
"1626",86,2015-06-01
"1627",77,2015-07-01
"1628",86,2015-08-01
"1629",81,2015-09-01
"1630",118,2015-10-01
"1631",121,2015-11-01
"1632",142,2015-12-01
"1633",134,2016-01-01
"1634",NA,2016-02-01
"1635",NA,2016-03-01
"1636",NA,2016-04-01
"1637",NA,2016-05-01
"1638",NA,2016-06-01
"1639",NA,2016-07-01
"1640",NA,2016-08-01
"1641",NA,2016-09-01
"1642",NA,2016-10-01
"1643",NA,2016-11-01
"1644",NA,2016-12-01
